0,airplane,1,1,0.32258064516129
0,bicycle,1,1,0.357142857142857
0,bus,1,1,0.357142857142857
0,car (sedan),1,1,0.333333333333333
0,cat,1,2,0.606060606060606
0,cat,2,2,0.606060606060606
0,cow,1,2,0.540540540540541
0,cow,2,2,0.645161290322581
0,dog,1,1,0.625
0,flying bird,1,1,0.666666666666667
0,horse,1,1,0.588235294117647
0,person walking,1,1,0.538461538461538
0,sheep,1,1,0.571428571428571
0,train,1,1,0.357142857142857
1,airplane,1,1,0.32258064516129
1,bicycle,1,1,0.357142857142857
1,bus,1,1,0.357142857142857
1,car (sedan),1,1,0.333333333333333
1,cat,1,2,0.606060606060606
1,cat,2,2,0.606060606060606
1,cow,1,2,0.540540540540541
1,cow,2,2,0.645161290322581
1,dog,1,1,0.625
1,flying bird,1,1,0.666666666666667
1,horse,1,1,0.588235294117647
1,person walking,1,1,0.538461538461538
1,sheep,1,1,0.571428571428571
1,train,1,1,0.357142857142857
2,airplane,1,1,0.333333333333333
2,bicycle,1,1,0.37037037037037
2,bus,1,1,0.37037037037037
2,car (sedan),1,1,0.344827586206897
2,cat,1,2,0.625
2,cat,2,2,0.625
2,cow,1,2,0.555555555555556
2,cow,2,2,0.666666666666667
2,dog,1,1,0.645161290322581
2,flying bird,1,1,0.689655172413793
2,horse,1,1,0.606060606060606
2,person walking,1,1,0.56
2,sheep,1,1,0.588235294117647
2,train,1,1,0.37037037037037
3,airplane,1,1,0.333333333333333
3,bicycle,1,1,0.37037037037037
3,bus,1,1,0.37037037037037
3,car (sedan),1,1,0.344827586206897
3,cat,1,2,0.625
3,cat,2,2,0.625
3,cow,1,2,0.555555555555556
3,cow,2,2,0.666666666666667
3,dog,1,1,0.645161290322581
3,flying bird,1,1,0.689655172413793
3,horse,1,1,0.606060606060606
3,person walking,1,1,0.56
3,sheep,1,1,0.588235294117647
3,train,1,1,0.37037037037037
4,airplane,1,1,0.416666666666667
4,bicycle,1,1,0.476190476190476
4,bus,1,1,0.476190476190476
4,car (sedan),1,1,0.434782608695652
4,cat,1,2,0.538461538461538
4,cat,2,2,0.538461538461538
4,cow,1,2,0.466666666666667
4,cow,2,2,0.583333333333333
4,dog,1,1,0.666666666666667
4,flying bird,1,1,0.608695652173913
4,horse,1,1,0.518518518518518
4,person walking,1,1,0.769230769230769
4,sheep,1,1,0.5
4,train,1,1,0.476190476190476
5,airplane,1,1,0.344827586206897
